Case,Restaurant,Price,Food,Decor,Service,East,latitude,longitude
35,felidia,62,25,22,23,1,40.7603663,-73.9651132
36,fresco by scotto,50,23,21,21,1,40.7588889,-73.9744444
37,giambelli,51,21,18,20,1,40.75732,-73.974902
38,il menestrello,52,22,19,22,1,40.7573739,-73.9749103
39,il nido,57,24,20,23,1,40.7640792,-73.9840072
40,il valentino,49,21,20,21,1,40.7593449,-73.9618087
41,luna piena,33,19,17,18,1,40.7572,-73.96766
42,paper moon milano,43,19,17,17,1,40.7629313,-73.9714374
43,teodora,41,21,17,18,1,40.760997,-73.9686181
44,san pietro,58,24,21,23,1,40.7602661,-73.9740488
45,bravo gianni,56,22,17,21,1,40.7632411,-73.9634211
46,canaletto,44,22,17,21,1,40.7618463,-73.9656421
47,il gatto & la volpe,37,20,15,20,1,40.7558395,-73.9801056
48,il valletto due mila,56,21,17,20,1,40.7638041,-73.9675721
49,scalinatella,58,24,18,21,1,40.7628207,-73.9654135
50,barbaresco,44,16,16,16,1,40.7654431,-73.9656798
51,da filippo,46,20,18,20,1,40.7671583,-73.9599302
52,east river cafe,40,20,20,20,1,40.7608999,-73.9614481
53,fred's at barneys ny,39,19,18,17,1,40.7645456,-73.9714809
54,il vagabondo,36,17,14,17,1,40.7619226,-73.9611787
55,mediterraneo,34,18,15,16,1,40.7650482,-73.9608071
56,nello,54,18,16,15,1,40.7657721,-73.9700109
57,primola,51,23,17,20,1,40.7639016,-73.9617463
58,gino,41,20,14,19,1,40.7752856,-73.9513835
59,via oreto,40,22,17,20,1,40.7612205,-73.9610286
60,bardolino,24,18,13,18,1,40.7866091,-73.9500891
61,campagnola,53,24,20,21,1,40.7689192,-73.9549861
62,cucina vivolo,31,19,16,17,1,40.7717097,-73.9616177
63,grace's trattoria,35,18,16,17,1,40.7665268,-73.9603149
64,lumi,49,20,19,19,1,40.7691194,-73.9629115
65,mezzaluna,38,19,15,17,1,40.7711518,-73.9592566
66,sette mezzo,48,21,16,18,1,40.7693015,-73.9628428
67,vivolo,43,20,19,20,1,40.7716806,-73.9615488
68,zucchero e pomodori,29,17,14,15,1,40.7706589,-73.9572838
69,baraonda,37,17,18,15,1,40.7707668,-73.9572477
70,coco pazzo,55,22,21,20,1,40.7260026,-74.0015654
71,due,37,22,18,20,1,40.7746951,-73.9573127
72,il monello,55,23,20,22,1,40.7715351,-73.956049
73,lusardi's,49,24,20,22,1,40.7724018,-73.9554555
74,maruzzella,33,19,14,18,1,40.7713111,-73.9536911
75,nino's,52,23,20,22,1,40.7681893,-73.9554854
76,parma,47,22,16,21,1,40.7749144,-73.9571707
77,il riccio,43,21,16,20,1,40.7746452,-73.9587937
78,andiamo,33,18,17,18,1,40.7609961,-73.9911161
79,caffe grazie,38,18,16,19,1,40.7794797,-73.9601024
80,giovanni venticinque,48,21,18,19,1,40.7791699,-73.9602975
81,girasole,50,21,18,21,1,40.7768722,-73.9569569
82,paola's,46,23,19,21,1,40.7822161,-73.9534431
83,rughetta,38,23,19,24,1,40.7766339,-73.9503329
84,triangolo,33,20,16,19,1,40.7753307,-73.9512054
85,cafe trevi,46,23,19,23,1,40.7739194,-73.9511825
86,divino ristorante,37,19,15,19,1,40.7743791,-73.9540066
87,elio's,50,23,18,20,1,40.7768491,-73.9528391
88,erminia,54,25,24,24,1,40.7759942,-73.9535902
89,firenze,41,21,19,21,1,40.7753307,-73.9512054
90,luca,37,21,15,18,1,40.7785041,-73.9478921
91,nicola's,50,22,18,21,1,40.7778911,-73.9562111
92,primavera,60,24,22,23,1,40.7808566,-73.9484272
93,sirabella's,36,23,16,22,1,40.7729405,-73.9465744
94,sistina,54,23,19,21,1,40.7776092,-73.9616775
95,spada,39,19,18,18,1,40.7851656,-73.9727641
96,trattoria rustica,35,20,16,18,1,40.7766873,-73.9505051
97,carino ristorante,30,19,13,20,1,40.7794927,-73.9501884
98,quattro gatti,41,19,17,19,1,40.7756014,-73.9559819
99,tony's di napoli,30,19,14,17,1,40.7643584,-73.9642451
100,ecco-la,25,18,15,15,1,40.7832166,-73.9509849
101,joanna's,43,19,18,21,1,40.7845911,-73.9564441
102,vico,45,20,15,17,1,40.7850107,-73.9560731
103,rao's,57,23,16,20,1,40.7940354,-73.9341881
104,basta pasta,32,18,15,17,0,40.7388217,-73.9940877
105,campagna,51,24,21,21,1,40.7756014,-73.9559819
106,follonico,48,23,20,21,1,40.7425397,-73.9925209
107,ribollita,36,18,16,16,1,40.7332889,-73.9915722
108,bondì ristorante¥,37,20,17,19,0,40.7401891,-73.9939379
109,casa mia,31,20,19,19,1,40.7516713,-74.0035607
110,novit·,47,23,19,21,1,40.7392735,-73.9865086
111,paul & jimmy's,40,19,16,19,1,40.7367758,-73.9873131
112,sal anthony's,37,18,16,18,1,40.7341941,-73.9916925
113,enoteca i trulli,43,23,20,21,1,40.7421141,-73.9836031
114,i trulli,51,23,22,21,1,40.7421299,-73.9835497
115,lamarca,19,18,9,15,1,40.7383646,-73.9837655
116,supreme macaroni co.,28,17,14,17,0,40.7562651,-73.9944412
117,veronica,22,21,6,14,0,40.7392209,-73.9867219
118,arno,41,19,17,19,0,40.7535098,-73.9884463
119,amarone,33,19,15,18,0,40.7616999,-73.9899587
120,cara mia,29,19,15,17,0,40.7620958,-73.9901861
121,casa di meglio,33,19,17,18,0,40.7607614,-73.9861055
122,la rivista,45,19,16,18,0,40.7602555,-73.9885888
123,trattoria dopo teatro,38,17,16,17,0,40.7567291,-73.9842562
124,barbetta,52,20,23,20,0,40.7603603,-73.9889508
125,becco,38,20,17,19,0,40.7607311,-73.9898836
126,coco pazzo teatro,47,18,18,17,0,40.7260026,-74.0015654
127,orso,46,22,18,20,0,40.7600935,-73.9889506
128,osteria al doge,40,20,17,18,0,40.7567432,-73.9848192
129,pietrasanta,32,20,15,19,0,40.7618502,-73.9904968
130,rainbow grill,65,19,23,18,0,40.7593177,-73.9793496
131,torre di pisa,47,19,21,17,0,40.7555245,-73.9808451
132,san domenico,65,23,22,22,0,40.7432105,-73.9870892
133,trionfo,45,20,17,21,0,40.7623132,-73.9848896
134,viceversa,46,22,22,20,0,40.7635294,-73.9868068
135,artusi,44,20,19,20,0,40.7337081,-74.0051144
136,ciao europa,40,19,19,18,0,40.7624004,-73.9780667
137,limoncello,46,19,18,20,0,40.7614104,-73.9827821
138,puttanesca,32,19,15,17,0,40.7435538,-73.9995402
139,rino trattoria,23,20,14,16,0,40.7639193,-73.9852801
140,sette moma,42,18,21,17,0,40.7613258,-73.9774014
141,trattoria del sogno,29,21,18,19,0,40.7654494,-73.9827245
142,castellano,49,21,18,20,0,40.7634751,-73.9798411
143,circo osteria del,53,22,24,21,0,40.7630705,-73.9793577
144,giovanni,45,22,19,21,0,40.8014826,-73.9609863
145,palio,63,22,25,22,0,40.7614804,-73.9814283
146,remi,52,23,23,21,0,40.7626274,-73.9808411
147,tuscan square,40,19,20,17,0,40.7592896,-73.9775348
148,vago ristorante,45,22,21,23,0,40.7452344,-73.9781198
149,bello,38,21,17,20,0,40.7675063,-73.9863841
150,caffe cielo,38,18,17,18,0,40.7611711,-73.9859561
151,da tommaso,42,21,16,20,0,40.7646826,-73.9847659
152,il tinello,57,23,19,23,0,40.7626722,-73.9756267
153,nocello,39,21,19,20,0,40.7653189,-73.9833371
154,tino's,43,20,18,18,0,40.7629181,-73.9765271
155,mangia e bevi,29,17,14,16,0,40.7653826,-73.9872991
156,patsy's,42,20,16,19,0,40.7656694,-73.9827186
157,gabriel's,50,22,19,21,0,40.7693649,-73.9828696
158,pappardella,34,18,16,17,0,40.7793452,-73.9776035
159,ernie's,31,16,15,16,0,40.7814599,-73.9806864
160,pomodoro rosso,31,20,17,19,0,40.7763848,-73.9792822
161,scaletta,46,21,19,22,0,40.7802562,-73.9757909
162,"la grolla, ristorante",42,21,15,19,0,40.7832954,-73.9779866
163,"sambuca, trattoria",31,19,16,18,0,40.7766357,-73.9773984
164,baci,31,17,15,16,0,40.78373,-73.9782929
165,puccini,26,20,16,17,0,40.7660899,-73.9868605
166,bella luna,31,18,16,17,0,40.7877657,-73.9714694
167,mètisse,38,22,17,21,0,40.8005764,-73.9675537
168,gennaro,34,24,10,16,0,40.791824,-73.9717531
